,Country,Vaccines are not important for children to have (%),Vaccines are not safe (%),Vaccines are not effective (%),Overall Avg. (%),% of one years-old not vaccinated,Vaccination policy
0,Afghanistan,2.1,4.47,1.84,2.803333333333333,34.0,
1,Albania,1.67,15.85,8.96,8.826666666666666,1.0,
2,Algeria,3.7,11.28,7.7,7.56,9.0,
3,Argentina,1.21,4.85,2.95,3.003333333333333,14.0,
4,Armenia,12.18,20.57,12.47,15.07333333333333,8.0,
5,Australia,3.27,6.9,4.09,4.753333333333333,5.0,RA
6,Austria,11.79,21.05,11.29,14.71,15.0,RA
7,Azerbaijan,8.32,11.23,8.42,9.323333333333332,5.0,
8,Bangladesh,0.4,0.9099999999999999,0.45,0.5866666666666666,2.0,
9,Belarus,7.6,14.78,9.84,10.74,2.0,
10,Belgium,4.699999999999999,20.64,5.34,10.22666666666667,3.0,MA
11,Benin,1.8,14.02,6.609999999999999,7.476666666666667,24.0,
12,Bolivia,1.77,13.1,8.65,7.84,17.0,
13,Bosnia and Herzegovina,5.87,8.3,6.199999999999999,6.79,20.0,
14,Botswana,3.83,9.0,4.08,5.636666666666667,5.0,
15,Brazil,0.51,9.049999999999999,6.68,5.413333333333333,17.0,RA
16,Bulgaria,6.92,15.62,6.44,9.659999999999998,15.0,MA
17,Burkina Faso,2.87,20.75,8.620000000000001,10.74666666666667,9.0,
18,Burundi,0.6599999999999999,6.529999999999999,3.48,3.556666666666667,10.0,
19,Cambodia,0.47,7.54,2.04,3.35,8.0,
20,Cameroon,1.82,13.11,9.55,8.16,21.0,
21,Canada,5.369999999999999,8.33,5.8,6.5,29.0,
22,Chad,4.34,10.05,7.1,7.163333333333334,59.0,
23,Chile,3.99,11.38,6.46,7.276666666666666,5.0,
24,China,1.87,8.29,2.83,4.33,1.0,
25,Colombia,0.5800000000000001,10.7,7.949999999999999,6.409999999999999,8.0,
26,Comoros,1.31,7.5,2.56,3.79,9.0,
27,Congo,2.21,17.5,3.43,7.713333333333334,19.0,
28,Congo,2.21,17.5,3.43,7.713333333333334,25.0,
29,Costa Rica,1.03,5.81,5.34,4.06,2.0,
30,Croatia,4.35,6.789999999999999,3.97,5.036666666666666,7.0,MA
31,Cyprus,6.02,9.86,6.19,7.356666666666666,3.0,RA
32,Czech Republic,2.98,6.6,3.08,4.22,6.0,MA
33,Dominican Republic,0.13,4.91,2.77,2.603333333333333,8.0,
34,Ecuador,0.89,5.39,5.779999999999999,4.02,15.0,
35,Egypt,0.31,0.59,0.6,0.5,5.0,
36,El Salvador,0.8300000000000001,11.38,8.16,6.79,19.0,
37,Estonia,5.720000000000001,13.49,6.58,8.596666666666666,7.0,RA
38,Eswatini,1.39,10.09,8.09,6.523333333333333,10.0,
39,Ethiopia,0.14,2.54,1.94,1.54,28.0,
40,France,9.76,33.29,18.28,20.44333333333333,10.0,MA
41,Gabon,2.65,25.86,11.64,13.38333333333333,30.0,
42,Georgia,3.63,9.58,5.15,6.12,7.0,
43,Germany,4.29,12.88,3.21,6.793333333333334,13.0,RA
44,Ghana,2.76,3.5,5.970000000000001,4.076666666666667,3.0,
45,Greece,1.68,3.59,2.46,2.576666666666667,4.0,RA
46,Guatemala,0.85,7.28,7.38,5.170000000000001,14.0,
47,Guinea,3.59,14.05,7.33,8.323333333333332,55.0,
48,Haiti,1.72,20.4,10.22,10.78,36.0,
49,Honduras,0.26,5.890000000000001,4.66,3.603333333333333,10.0,
50,India,1.36,2.0,1.8,1.72,11.0,
51,Indonesia,3.01,5.74,11.55,6.766666666666667,21.0,MA
52,Iran,1.72,9.16,2.59,4.49,1.0,
53,Iraq,2.94,4.45,3.87,3.753333333333334,16.0,
54,Ireland,3.94,9.36,4.33,5.876666666666666,6.0,RA
55,Israel,0.88,4.82,2.14,2.613333333333333,3.0,
56,Italy,8.23,13.72,5.63,9.193333333333333,5.0,MA
57,Ivory Coast,1.48,16.36,7.83,8.556666666666667,18.0,
