,BCG,DTP1,DTP3,Polio3,MCV1,MCV2,HepB3,Hib3,Rota,PCV3,Tetanus
Afghanistan,78.0,73.0,66.0,73.0,64.0,39.0,66.0,66.0,60.0,65.0,68.0
Albania,99.0,99.0,99.0,99.0,94.0,96.0,99.0,99.0,,98.0,95.0
Algeria,99.0,96.0,91.0,91.0,80.0,77.0,91.0,91.0,,91.0,98.0
Andorra,,99.0,99.0,99.0,99.0,95.0,98.0,99.0,,94.0,
Angola,86.0,67.0,59.0,56.0,50.0,35.0,59.0,59.0,65.0,67.0,78.0
Antigua and Barbuda,,99.0,95.0,94.0,96.0,95.0,95.0,95.0,,,
Argentina,93.0,91.0,86.0,84.0,94.0,89.0,86.0,86.0,80.0,88.0,
Armenia,99.0,96.0,92.0,92.0,95.0,96.0,92.0,92.0,93.0,92.0,
Australia,,98.0,95.0,95.0,95.0,93.0,95.0,94.0,87.0,95.0,
Austria,,90.0,85.0,85.0,94.0,84.0,85.0,85.0,61.0,,
Azerbaijan,97.0,96.0,95.0,96.0,96.0,96.0,95.0,95.0,,95.0,
Bahamas,,94.0,90.0,90.0,89.0,69.0,90.0,90.0,70.0,90.0,100.0
Bahrain,,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,98.0,98.0
Bangladesh,99.0,99.0,98.0,98.0,97.0,93.0,98.0,98.0,,97.0,98.0
Barbados,,96.0,95.0,94.0,85.0,74.0,95.0,95.0,,89.0,
Belarus,98.0,97.0,97.0,98.0,97.0,98.0,98.0,9.0,,,
Belgium,,99.0,98.0,98.0,96.0,85.0,97.0,97.0,87.0,94.0,
Belize,99.0,97.0,96.0,96.0,97.0,91.0,96.0,96.0,,,91.0
Benin,89.0,84.0,76.0,75.0,71.0,,76.0,76.0,,73.0,85.0
Bhutan,99.0,98.0,97.0,97.0,97.0,91.0,97.0,97.0,,,89.0
Bolivia (Plurinational State of),90.0,89.0,83.0,83.0,89.0,38.0,83.0,83.0,87.0,83.0,87.0
Bosnia and Herzegovina,95.0,89.0,73.0,73.0,68.0,76.0,80.0,62.0,,,
Botswana,98.0,98.0,95.0,96.0,97.0,74.0,95.0,95.0,87.0,91.0,93.0
Brazil,90.0,87.0,83.0,85.0,84.0,69.0,83.0,83.0,80.0,84.0,94.0
Brunei Darussalam,99.0,99.0,99.0,99.0,99.0,98.0,99.0,99.0,,,96.0
Bulgaria,96.0,94.0,92.0,92.0,93.0,87.0,85.0,92.0,31.0,88.0,
Burkina Faso,98.0,95.0,91.0,91.0,88.0,71.0,91.0,91.0,91.0,91.0,92.0
Burundi,91.0,94.0,90.0,90.0,88.0,77.0,90.0,90.0,92.0,90.0,90.0
Cabo Verde,96.0,99.0,98.0,98.0,99.0,88.0,99.0,99.0,,,92.0
Cambodia,93.0,94.0,92.0,90.0,84.0,70.0,92.0,92.0,,84.0,93.0
Cameroon,88.0,86.0,79.0,78.0,71.0,,79.0,79.0,78.0,79.0,85.0
Canada,,95.0,91.0,91.0,90.0,87.0,71.0,91.0,79.0,81.0,
Central African Republic,74.0,69.0,47.0,47.0,49.0,,47.0,47.0,,47.0,60.0
Chad,59.0,55.0,41.0,44.0,37.0,,41.0,41.0,,,78.0
Chile,96.0,99.0,95.0,95.0,93.0,93.0,95.0,95.0,,93.0,
China,99.0,99.0,99.0,99.0,99.0,99.0,99.0,,,,
Colombia,89.0,92.0,92.0,92.0,95.0,88.0,92.0,92.0,90.0,94.0,95.0
Comoros,94.0,96.0,91.0,94.0,90.0,,91.0,91.0,,,85.0
Congo,81.0,79.0,75.0,75.0,75.0,,75.0,75.0,72.0,73.0,85.0
Cook Islands,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,,,
Costa Rica,92.0,95.0,94.0,94.0,94.0,93.0,98.0,94.0,,96.0,
Côte d'Ivoire,98.0,95.0,82.0,82.0,71.0,,82.0,82.0,59.0,81.0,85.0
Croatia,98.0,98.0,93.0,94.0,93.0,95.0,93.0,94.0,,,
Cuba,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,,,
Cyprus,,99.0,99.0,97.0,90.0,88.0,97.0,97.0,,81.0,
Czechia,,98.0,96.0,94.0,96.0,84.0,94.0,94.0,,,
Democratic People's Republic of Korea,96.0,99.0,97.0,99.0,98.0,99.0,97.0,97.0,,,98.0
Democratic Republic of the Congo,83.0,82.0,81.0,79.0,80.0,,81.0,81.0,,81.0,85.0
Denmark,,97.0,97.0,97.0,95.0,90.0,,97.0,,96.0,
Djibouti,93.0,91.0,84.0,84.0,86.0,81.0,84.0,84.0,87.0,84.0,98.0
Dominica,95.0,99.0,94.0,94.0,84.0,81.0,94.0,94.0,,,
Dominican Republic,99.0,99.0,94.0,89.0,95.0,31.0,92.0,90.0,82.0,70.0,99.0
