,Countries,Vaccination policy
0,Austria,RA
1,Belgium,MA
2,Bulgaria,MA
3,Croatia,MA
4,Cyprus,RA
5,Czech Republic,MA
6,Denmark,RA
7,Estonia,RA
8,Finland,RA
9,France,MA
10,Germany,RA
11,Greece,RA
12,Hungary,MA
13,Iceland,RA
14,Ireland,RA
15,Italy,MA
16,Latvia,RA
17,Liechtenstein,RA
18,Lithuania,RA
19,Luxembourg,RA
20,Malta,MA
21,Netherlands,RA
22,Norway,RA
23,Poland,MA
24,Portugal,RA
25,Romania,RA
26,Slovakia,MA
27,Slovenia,MA
28,Spain,RA
29,Sweden,RA
30,United Kingdom,RA
31,Australia,RA
32,Argentina,N/A
33,Brazil,RA
34,Canada,N/A
35,Indonesia,MA
36,Japan,RA
37,Russia,N/A
38,South Africa,N/A
39,Switzerland,N/A
40,Ukraine,N/A
